City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Manjacaze,MZ,70.9,scattered clouds,-24.7117,33.8828,Hotel Gani
10,Cape Town,ZA,61.21,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
12,Busselton,AU,62.4,overcast clouds,-33.65,115.3333,Observatory Guest House
13,Butaritari,KI,79.84,light rain,3.0707,172.7902,Isles Sunset Lodge
14,Kapaa,US,74.12,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
15,Isangel,VU,76.44,overcast clouds,-19.55,169.2667,Tanna Lodge
17,Faanui,PF,80.56,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
19,Rikitea,PF,75.33,overcast clouds,-23.1203,-134.9692,People ThankYou
22,La Asuncion,VE,85.73,overcast clouds,11.0333,-63.8628,Colinas de Matasiete
23,Norfolk,US,64.4,clear sky,42.1668,-71.2495,Residence Inn by Marriott Boston Norwood/Canton
24,Atuona,PF,78.76,scattered clouds,-9.8,-139.0333,Villa Enata
26,Hithadhoo,MV,85.15,scattered clouds,-0.6,73.0833,Scoop Guest House
28,Bethel,US,64.18,overcast clouds,41.3712,-73.414,Courtyard by Marriott Danbury
29,Korla,CN,62.17,overcast clouds,41.7597,86.1469,Gulisitan Hotel
30,Cabedelo,BR,86.67,overcast clouds,-6.9811,-34.8339,Hotel Pigalle
31,Saint-Philippe,RE,73.22,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
32,Puerto Del Rosario,ES,69.55,few clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
33,Puerto Ayora,EC,76.96,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
36,Touros,BR,86.02,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
40,Caravelas,BR,84.22,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
41,Berbera,SO,87.21,overcast clouds,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
42,Praia,CV,84.74,clear sky,14.9215,-23.5087,LT Aparthotel
43,Karimganj,IN,78.06,clear sky,24.8667,92.35,Ahar Hotel And Aheli Restaurant
44,Carlsbad,US,87.85,clear sky,33.1581,-117.3506,Carlsbad Inn Beach Resort
45,Barcelos,PT,66.92,scattered clouds,41.5388,-8.6151,Hotel Restaurante Bagoeira
46,Ribeira Grande,PT,64.8,few clouds,38.5167,-28.7,Quinta da Meia Eira
49,Carnarvon,AU,68.07,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
56,Lompoc,US,76.78,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
59,Baiyin,CN,62.15,overcast clouds,36.5583,104.2081,GreenTree Alliance Gansu Baiyin Renmin Road Hotel
62,Port Elizabeth,ZA,60.31,clear sky,-33.918,25.5701,39 On Nile Guest House
63,San Rafael,AR,65.14,clear sky,-34.6177,-68.3301,Hotel San Rafael
64,Guipavas,FR,60.85,clear sky,48.4352,-4.3972,Brit Hotel Brest Le Relecq-Kerhuon
69,Victoria,HK,82.45,few clouds,22.2855,114.1577,Mini Hotel Central
70,Gizo,SB,81.39,moderate rain,-8.103,156.8419,Imagination Island
71,Mayumba,GA,78.93,overcast clouds,-3.432,10.6554,LIKWALE LODGE
72,Naze,JP,72.52,scattered clouds,28.3667,129.4833,Shishime Hotel
73,Saint George,US,66.63,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
74,Dingle,PH,78.48,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
76,Dahod,IN,88.09,clear sky,22.8333,74.2667,Hotel Laxmi Inn
78,Gualeguay,AR,73.98,overcast clouds,-33.1416,-59.3097,Faro del Lago
83,Ponta Do Sol,PT,69.12,broken clouds,32.6667,-17.1,Hotel do Campo
84,Santa Cruz,BO,87.85,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
85,Mogadishu,SO,83.35,few clouds,2.0371,45.3438,Hotel Juba
89,San Cristobal,VE,73.58,overcast clouds,7.7669,-72.225,Pirineos
90,Nara,JP,66.49,overcast clouds,34.6851,135.8049,Guesthouse Nara Komachi
93,Vaini,TO,71.76,light rain,-21.2,-175.2,Keleti Beach Resort
