City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Mataura,NZ,-46.1927,168.8643,50.49,84,13,6.11,few clouds
1,Manjacaze,MZ,-24.7117,33.8828,70.9,96,25,5.19,scattered clouds
2,Albany,US,42.6001,-73.9662,66.24,34,100,5.99,overcast clouds
3,Ushuaia,AR,-54.8,-68.3,42.42,68,100,3.51,overcast clouds
4,Clyde River,CA,70.4692,-68.5914,8.83,85,100,25.32,light snow
5,Lebu,CL,-37.6167,-73.65,56.46,68,100,20.33,overcast clouds
6,Hasaki,JP,35.7333,140.8333,59.4,89,98,6.06,overcast clouds
7,Tuatapere,NZ,-46.1333,167.6833,43.57,84,25,6.78,scattered clouds
8,Hobart,AU,-42.8794,147.3294,52.05,90,73,5.75,broken clouds
9,New Norfolk,AU,-42.7826,147.0587,51.71,85,73,2.39,broken clouds
10,Cape Town,ZA,-33.9258,18.4232,61.21,70,0,14.97,clear sky
11,Kaitangata,NZ,-46.2817,169.8464,46.26,74,3,12.03,clear sky
12,Busselton,AU,-33.65,115.3333,62.4,79,96,20.11,overcast clouds
13,Butaritari,KI,3.0707,172.7902,79.84,83,29,15.03,light rain
14,Kapaa,US,22.0752,-159.319,74.12,83,20,14.97,few clouds
15,Isangel,VU,-19.55,169.2667,76.44,71,99,15.17,overcast clouds
16,Simpang,ID,-1.2667,104.0833,75.49,95,99,0.89,overcast clouds
17,Faanui,PF,-16.4833,-151.75,80.56,73,69,4.43,broken clouds
18,Kruisfontein,ZA,-34.0033,24.7314,56.88,78,65,7.38,broken clouds
19,Rikitea,PF,-23.1203,-134.9692,75.33,78,100,12.03,overcast clouds
20,Port Alfred,ZA,-33.5906,26.891,58.17,84,50,1.01,scattered clouds
21,Tilichiki,RU,60.4667,166.1,23.36,93,95,11.05,overcast clouds
22,La Asuncion,VE,11.0333,-63.8628,85.73,66,100,17.27,overcast clouds
23,Norfolk,US,42.1668,-71.2495,64.4,39,0,9.22,clear sky
24,Atuona,PF,-9.8,-139.0333,78.76,73,29,15.77,scattered clouds
25,Aripuana,BR,-9.1667,-60.6333,91.2,47,9,4.34,clear sky
26,Hithadhoo,MV,-0.6,73.0833,85.15,72,45,7.85,scattered clouds
27,Beregovoy,RU,55.173,73.2198,44.65,39,88,10.92,overcast clouds
28,Bethel,US,41.3712,-73.414,64.18,34,100,3.44,overcast clouds
29,Korla,CN,41.7597,86.1469,62.17,38,100,26.64,overcast clouds
30,Cabedelo,BR,-6.9811,-34.8339,86.67,79,100,12.75,overcast clouds
31,Saint-Philippe,RE,-21.3585,55.7679,73.22,83,44,16.37,light rain
32,Puerto Del Rosario,ES,28.5004,-13.8627,69.55,68,20,11.5,few clouds
33,Puerto Ayora,EC,-0.7393,-90.3518,76.96,79,82,9.19,broken clouds
34,Cherskiy,RU,68.75,161.3,16.38,83,100,4.47,overcast clouds
35,Barrow,US,71.2906,-156.7887,10.42,79,100,6.91,haze
36,Touros,BR,-5.1989,-35.4608,86.02,59,32,13.35,scattered clouds
37,Coihueco,CL,-36.6167,-71.8333,54.34,88,75,9.22,light rain
38,Chokurdakh,RU,70.6333,147.9167,6.62,91,100,6.55,overcast clouds
39,Hohhot,CN,40.8106,111.6522,46.69,17,20,13.42,few clouds
40,Caravelas,BR,-17.7125,-39.2481,84.22,59,9,7.4,clear sky
41,Berbera,SO,10.4396,45.0143,87.21,57,88,6.31,overcast clouds
42,Praia,CV,14.9215,-23.5087,84.74,37,0,20.71,clear sky
43,Karimganj,IN,24.8667,92.35,78.06,70,3,2.35,clear sky
44,Carlsbad,US,33.1581,-117.3506,87.85,24,0,1.99,clear sky
45,Barcelos,PT,41.5388,-8.6151,66.92,58,44,4.65,scattered clouds
46,Ribeira Grande,PT,38.5167,-28.7,64.8,63,20,12.66,few clouds
47,Qaanaaq,GL,77.484,-69.3632,10.94,66,91,5.06,overcast clouds
48,Saint Anthony,US,45.0205,-93.218,37.33,70,100,19.57,overcast clouds
49,Carnarvon,AU,-24.8667,113.6333,68.07,83,40,3.44,scattered clouds
50,Nikolskoye,RU,59.7035,30.7861,42.87,96,100,4.76,overcast clouds
51,Punta Arenas,CL,-53.15,-70.9167,44.71,81,75,17.27,broken clouds
52,Tuktoyaktuk,CA,69.4541,-133.0374,32.18,91,100,3.83,overcast clouds
53,East London,ZA,-33.0153,27.9116,58.14,88,0,9.22,clear sky
54,Thompson,CA,55.7435,-97.8558,17.76,32,20,6.91,few clouds
55,Tiksi,RU,71.6872,128.8694,-6.23,100,98,3.13,overcast clouds
56,Lompoc,US,34.6391,-120.4579,76.78,65,0,4.61,clear sky
57,Saskylakh,RU,71.9167,114.0833,-8.46,100,80,3.65,broken clouds
58,Bluff,NZ,-46.6,168.3333,50.81,65,17,22.57,few clouds
59,Baiyin,CN,36.5583,104.2081,62.15,28,98,11.48,overcast clouds
60,Hermanus,ZA,-34.4187,19.2345,59.81,71,0,6.13,clear sky
61,Mhlambanyatsi,SZ,-26.45,31.0167,58.59,96,95,0.16,light rain
62,Port Elizabeth,ZA,-33.918,25.5701,60.31,90,0,13.8,clear sky
63,San Rafael,AR,-34.6177,-68.3301,65.14,35,0,8.21,clear sky
64,Guipavas,FR,48.4352,-4.3972,60.85,60,0,13.8,clear sky
65,San Matias,BO,-16.3667,-58.4,96.13,37,55,10.51,broken clouds
66,Avera,US,33.194,-82.5271,81.55,52,2,6.08,clear sky
